Epoch,IoU,Dice,Precision,Recall,Sensitivity,Specificity,F1,Split,Class
1,0.78049016,0.8340969,0.85179156,0.9113921,0.9113921,0.999669,0.8340969,test,Arteriole lumen
1,0.48735636,0.5490136,0.5260002,0.9461934,0.9461934,0.9967634,0.5490136,test,Arteriole media
1,0.6777258,0.72557676,0.6834922,0.9820237,0.9820237,0.98418015,0.72557676,test,Arteriole adventitia
1,0.2705119,0.27551022,0.9428345,0.28977728,0.28977728,0.9999901,0.27551022,test,Capillary lumen
1,0.025999334,0.049519934,0.02889331,0.5704994,0.5704994,0.9663387,0.049519934,test,Capillary wall
1,0.5459895,0.55390334,0.9619882,0.58156145,0.58156145,0.99981666,0.55390334,test,Venule lumen
1,0.004127367,0.007638541,0.004127367,1.0,1.0,2.6695514e-05,0.0076385415,test,Venule wall
1,0.863084,0.8852894,0.90655494,0.9472261,0.9472261,0.99528354,0.8852894,test,Immune cells
1,0.98626703,0.9882294,0.9906092,0.9952393,0.9952393,0.999699,0.9882294,test,Nerve trunks
1,0.51572794,0.54097533,0.6551435,0.80265695,0.80265695,0.8824186,0.54097533,test,Mean
1,0.7683897,0.8058305,0.8768991,0.8823652,0.8823652,0.9981561,0.8058305,train,Arteriole lumen
1,0.6083,0.65039325,0.69167423,0.90895665,0.90895665,0.9954565,0.65039325,train,Arteriole media
1,0.6468667,0.66020584,0.6679207,0.96918714,0.96918714,0.98441005,0.66020584,train,Arteriole adventitia
1,0.22400013,0.22669527,0.4339795,0.5535404,0.5535404,0.97810245,0.22669527,train,Capillary lumen
1,0.020750847,0.03343969,0.09105959,0.8175378,0.8175378,0.6085723,0.03343969,train,Capillary wall
1,0.5292947,0.55229974,0.59118307,0.8533317,0.8533317,0.99449754,0.55229974,train,Venule lumen
1,0.0069849547,0.013150467,0.0069849556,0.99999976,0.99999976,0.0031388113,0.013150466,train,Venule wall
1,0.5853083,0.59791005,0.58710504,0.99665534,0.99665534,0.9922069,0.59791005,train,Immune cells
1,0.7788038,0.7881395,0.7951764,0.98285437,0.98285437,0.99611986,0.7881395,train,Nerve trunks
1,0.4631888,0.48089606,0.52688694,0.8849365,0.8849365,0.8389623,0.48089606,train,Mean
2,0.85107,0.8974246,0.9102671,0.92833316,0.92833316,0.9998255,0.8974246,test,Arteriole lumen
2,0.5045971,0.55480486,0.5503296,0.9422107,0.9422107,0.9983361,0.55480486,test,Arteriole media
2,0.7880548,0.8313658,0.8061395,0.95567155,0.95567155,0.9965143,0.8313658,test,Arteriole adventitia
2,0.26832366,0.34585282,0.32636696,0.6181115,0.6181115,0.9978765,0.34585282,test,Capillary lumen
2,0.33036417,0.41947368,0.37723166,0.65513825,0.65513825,0.99573797,0.4194737,test,Capillary wall
2,0.559396,0.57073843,0.96019226,0.59799635,0.59799635,0.99977434,0.57073843,test,Venule lumen
2,0.004128129,0.007640045,0.004128129,1.0,1.0,0.0033783333,0.0076400456,test,Venule wall
2,0.86171967,0.8808563,0.8864987,0.9651103,0.9651103,0.991889,0.8808563,test,Immune cells
2,0.7455354,0.74696654,0.7487658,0.99653935,0.99653935,0.9995818,0.74696654,test,Nerve trunks
2,0.5459099,0.5839026,0.61888003,0.85101235,0.85101235,0.88699037,0.5839026,test,Mean
2,0.6876143,0.7400167,0.8380767,0.8437519,0.8437519,0.9995328,0.7400167,train,Arteriole lumen
2,0.59410477,0.6628066,0.75825405,0.7887176,0.7887176,0.9969133,0.6628065,train,Arteriole media
2,0.40574488,0.4127481,0.42847452,0.9588875,0.9588875,0.98690903,0.4127481,train,Arteriole adventitia
2,0.3706099,0.3878959,0.42612985,0.89498687,0.89498687,0.99890125,0.3878959,train,Capillary lumen
2,0.23641846,0.24695092,0.27307653,0.8753562,0.8753562,0.9976262,0.24695092,train,Capillary wall
2,0.39523527,0.44630837,0.5612728,0.80705535,0.80705535,0.997496,0.44630837,train,Venule lumen
2,0.00829069,0.016014937,0.008290866,0.99682677,0.99682677,0.0032406077,0.016014937,train,Venule wall
2,0.50341105,0.5079118,0.50551873,0.9957033,0.9957033,0.9906872,0.5079118,train,Immune cells
2,0.8798269,0.8820652,0.8857138,0.9939311,0.9939311,0.99919724,0.8820652,train,Nerve trunks
2,0.45347294,0.47807986,0.5205342,0.90613514,0.90613514,0.88561153,0.47807986,train,Mean
3,0.8375467,0.88510275,0.8716526,0.9649319,0.9649319,0.9988975,0.88510275,test,Arteriole lumen
3,0.82841325,0.88125134,0.86952174,0.94715035,0.94715035,0.9977163,0.88125134,test,Arteriole media
3,0.7173948,0.7444917,0.9199919,0.731151,0.731151,0.9985632,0.7444917,test,Arteriole adventitia
3,0.35222012,0.44067726,0.48270223,0.5553493,0.5553493,0.9990907,0.44067723,test,Capillary lumen
3,0.33816436,0.4335852,0.42770758,0.7224732,0.7224732,0.99647987,0.43358517,test,Capillary wall
3,0.5218842,0.54182947,0.8614136,0.6275627,0.6275627,0.9993931,0.54182947,test,Venule lumen
3,0.004132204,0.007648048,0.004132204,1.0,1.0,0.012141345,0.007648048,test,Venule wall
3,0.8754253,0.8929047,0.9202928,0.94763845,0.94763845,0.99529153,0.8929047,test,Immune cells
3,0.9951738,0.9966702,0.99873435,0.99620914,0.99620914,0.99981815,0.9966702,test,Nerve trunks
3,0.6078172,0.64712894,0.7062388,0.8324962,0.8324962,0.8885991,0.64712894,test,Mean
3,0.75796336,0.78286606,0.7932962,0.96162647,0.96162647,0.9994826,0.78286606,train,Arteriole lumen
3,0.6581454,0.6907338,0.74439216,0.9066973,0.9066973,0.99729395,0.6907338,train,Arteriole media
3,0.6915692,0.6997523,0.69961154,0.98729384,0.98729384,0.99591583,0.6997523,train,Arteriole adventitia
3,0.56764114,0.61407864,0.7246661,0.804634,0.804634,0.9997951,0.61407864,train,Capillary lumen
