Epoch,IoU,Dice,Precision,Recall,Sensitivity,Specificity,F1,Split,Class
1,0.015295519,0.027995527,0.015332874,0.98307514,0.98307514,0.9241574,0.027995527,test,Arteriole lumen
1,0.056209885,0.09505314,0.056237385,0.98375404,0.98375404,0.9025014,0.09505313,test,Arteriole media
1,0.060692504,0.09900661,0.061190784,0.9955002,0.9955002,0.87482905,0.0990066,test,Arteriole adventitia
1,0.0011652019,0.0023253262,0.0011653923,0.9813376,0.9813376,0.02002261,0.0023253262,test,Capillary lumen
1,0.009447414,0.018480148,0.009575792,0.6405858,0.6405858,0.83912706,0.01848015,test,Capillary wall
1,0.01461679,0.02399544,0.014832807,0.6820947,0.6820947,0.87879896,0.02399544,test,Venule lumen
1,0.021068705,0.03352657,0.022544902,0.6727621,0.6727621,0.9010776,0.03352657,test,Venule wall
1,0.058110584,0.077006504,0.061127737,0.9870777,0.9870777,0.8872174,0.077006504,test,Immune cells
1,0.31931943,0.3212086,0.32136524,0.9974622,0.9974622,0.96668255,0.3212086,test,Nerve trunks
1,0.06176956,0.07762198,0.06259699,0.88040555,0.88040555,0.79937935,0.07762198,test,Mean
1,0.018141566,0.033430904,0.018192906,0.99038756,0.99038756,0.87905157,0.033430904,train,Arteriole lumen
1,0.13561013,0.1662853,0.13595355,0.99298537,0.99298537,0.82543314,0.1662853,train,Arteriole media
1,0.046822496,0.073954985,0.048729442,0.9807081,0.9807081,0.72390556,0.073954985,train,Arteriole adventitia
1,0.00073756895,0.0014703891,0.0007375914,0.9994304,0.9994304,0.11163729,0.0014703891,train,Capillary lumen
1,0.006594423,0.012789257,0.0071356874,0.79434276,0.79434276,0.8453401,0.012789257,train,Capillary wall
1,0.022647364,0.04194336,0.022722516,0.95193976,0.95193976,0.713727,0.04194336,train,Venule lumen
1,0.044896327,0.07945843,0.046168417,0.9244362,0.9244362,0.8393364,0.07945843,train,Venule wall
1,0.066079475,0.0997424,0.11166805,0.8997525,0.8997525,0.8542314,0.0997424,train,Immune cells
1,0.22365758,0.2441072,0.24359798,0.96823347,0.96823347,0.9701247,0.2441072,train,Nerve trunks
1,0.06279855,0.08368692,0.07054513,0.9446907,0.9446907,0.7514208,0.08368692,train,Mean
2,0.03912966,0.065389715,0.03922276,0.98376155,0.98376155,0.96530557,0.065389715,test,Arteriole lumen
2,0.17227483,0.23425668,0.17311734,0.98137105,0.98137105,0.9636879,0.23425668,test,Arteriole media
2,0.12651238,0.1742598,0.12812391,0.9869936,0.9869936,0.92903477,0.1742598,test,Arteriole adventitia
2,0.0024230985,0.0047972705,0.0024278662,0.6964352,0.6964352,0.6410085,0.0047972705,test,Capillary lumen
2,0.006169227,0.012161406,0.006172669,0.97892165,0.97892165,0.45140105,0.012161406,test,Capillary wall
2,0.058330867,0.07086849,0.058836836,0.678187,0.678187,0.94032705,0.07086849,test,Venule lumen
2,0.06616198,0.08107832,0.07420932,0.6521229,0.6521229,0.96346337,0.08107832,test,Venule wall
2,0.06856482,0.08809678,0.09537533,0.9525577,0.9525577,0.9445063,0.08809678,test,Immune cells
2,0.68497586,0.68658936,0.6851625,0.9997205,0.9997205,0.98812807,0.68658936,test,Nerve trunks
2,0.1360603,0.15749976,0.14029428,0.87889683,0.87889683,0.86520696,0.15749976,test,Mean
2,0.022389678,0.03787276,0.022458324,0.996739,0.996739,0.9276395,0.03787276,train,Arteriole lumen
2,0.15034506,0.18792266,0.1517669,0.9751251,0.9751251,0.89975333,0.18792266,train,Arteriole media
2,0.0842345,0.09168741,0.08553156,0.9507903,0.9507903,0.8253503,0.09168741,train,Arteriole adventitia
2,0.0019091873,0.0037698448,0.0019097397,0.91764504,0.91764504,0.67551625,0.0037698452,train,Capillary lumen
2,0.022539468,0.038207162,0.024629137,0.9489784,0.9489784,0.65880245,0.038207162,train,Capillary wall
2,0.10864826,0.13764925,0.10873311,0.98123467,0.98123467,0.8661684,0.13764924,train,Venule lumen
2,0.18939087,0.2538602,0.19000256,0.9825117,0.9825117,0.9031879,0.2538602,train,Venule wall
2,0.015082689,0.019058771,0.029115733,0.91419184,0.91419184,0.88266015,0.019058771,train,Immune cells
2,0.6426367,0.6570297,0.6488103,0.99230176,0.99230176,0.97285676,0.6570297,train,Nerve trunks
2,0.13746405,0.15856197,0.14032859,0.9621687,0.9621687,0.84577054,0.15856197,train,Mean
3,0.07349047,0.09209289,0.07350139,0.9529159,0.9529159,0.9507723,0.09209289,test,Arteriole lumen
3,0.18790847,0.24732873,0.1901348,0.97714955,0.97714955,0.9508657,0.24732873,test,Arteriole media
3,0.15616365,0.20287657,0.15846275,0.9774832,0.9774832,0.91285896,0.20287657,test,Arteriole adventitia
3,0.0067638154,0.012764589,0.006930562,0.39920938,0.39920938,0.8947158,0.012764591,test,Capillary lumen
3,0.0083018225,0.016268577,0.008310895,0.9744954,0.9744954,0.50623155,0.016268576,test,Capillary wall
3,0.07344048,0.09017955,0.07639547,0.6798521,0.6798521,0.9359556,0.09017955,test,Venule lumen
3,0.09800808,0.11731715,0.10819436,0.65968746,0.65968746,0.96536183,0.117317155,test,Venule wall
3,0.06732227,0.08700871,0.0990985,0.95298153,0.95298153,0.9310564,0.08700871,test,Immune cells
3,0.5744999,0.57569176,0.57488775,0.99947995,0.99947995,0.97973347,0.57569176,test,Nerve trunks
3,0.13843322,0.16016984,0.14399071,0.8414727,0.8414727,0.8919502,0.16016984,test,Mean
3,0.1610402,0.17674495,0.16113389,0.99580956,0.99580956,0.9150893,0.17674495,train,Arteriole lumen
3,0.17987338,0.21638685,0.1914652,0.981092,0.981092,0.9290854,0.21638685,train,Arteriole media
3,0.096965924,0.117052056,0.100669384,0.91890526,0.91890526,0.86214256,0.117052056,train,Arteriole adventitia
3,0.0025133158,0.004715415,0.002526481,0.721099,0.721099,0.85184765,0.004715415,train,Capillary lumen
3,0.0034522687,0.0066593518,0.003462519,0.9188744,0.9188744,0.64766085,0.0066593518,train,Capillary wall
3,0.24348688,0.32104024,0.24598905,0.9637004,0.9637004,0.9065703,0.32104024,train,Venule lumen
3,0.3835762,0.48305708,0.40038842,0.91697323,0.91697323,0.95604104,0.48305708,train,Venule wall
3,0.02847847,0.03547643,0.030566538,0.99586654,0.99586654,0.8923154,0.03547643,train,Immune cells
3,0.5053055,0.50994325,0.50780755,0.99739206,0.99739206,0.9822151,0.50994325,train,Nerve trunks
3,0.17829913,0.20789729,0.18266767,0.9344124,0.9344124,0.8825519,0.20789729,train,Mean
4,0.18330105,0.22466263,0.19912128,0.98335266,0.98335266,0.98479825,0.22466262,test,Arteriole lumen
4,0.33920792,0.39588544,0.36404312,0.9642517,0.9642517,0.9914522,0.39588544,test,Arteriole media
4,0.2487915,0.2996419,0.25217742,0.97644544,0.97644544,0.95638937,0.2996419,test,Arteriole adventitia
4,0.01110726,0.020384498,0.011644781,0.4106356,0.4106356,0.94275916,0.020384498,test,Capillary lumen
4,0.042510666,0.06052675,0.056303628,0.36946246,0.36946246,0.98337936,0.06052675,test,Capillary wall
4,0.18367758,0.20953363,0.19277072,0.9209316,0.9209316,0.9856754,0.20953363,test,Venule lumen
4,0.18307275,0.21637987,0.22463131,0.73257315,0.73257315,0.9889893,0.21637987,test,Venule wall
4,0.07341765,0.09328168,0.08320161,0.9813797,0.9813797,0.9485969,0.09328168,test,Immune cells
4,0.67231065,0.67345136,0.6730856,0.99904,0.99904,0.9870459,0.67345136,test,Nerve trunks
4,0.21526633,0.24374975,0.2285533,0.81534135,0.81534135,0.9743429,0.24374975,test,Mean
4,0.09796659,0.13467112,0.101552784,0.9912851,0.9912851,0.9422691,0.13467112,train,Arteriole lumen
4,0.22926421,0.2858432,0.2726311,0.9446631,0.9446631,0.97277254,0.2858432,train,Arteriole media
4,0.030180264,0.04958874,0.032080017,0.9208558,0.9208558,0.87722325,0.04958874,train,Arteriole adventitia
4,0.0129972985,0.02267505,0.013096252,0.86161995,0.86161995,0.8844162,0.022675052,train,Capillary lumen
4,0.050086103,0.07407762,0.056085445,0.84748864,0.84748864,0.9372095,0.07407762,train,Capillary wall
4,0.19683105,0.2591025,0.20113452,0.9315201,0.9315201,0.9558332,0.25910252,train,Venule lumen
4,0.2312312,0.2895429,0.26233566,0.86515975,0.86515975,0.9756542,0.28954288,train,Venule wall
4,0.051120866,0.06848582,0.06401669,0.9729342,0.9729342,0.9213665,0.06848581,train,Immune cells
4,0.61312896,0.63171136,0.66582334,0.94709456,0.94709456,0.99338233,0.63171136,train,Nerve trunks
4,0.16808963,0.20174426,0.18541732,0.92029124,0.92029124,0.9400141,0.20174426,train,Mean
5,0.74630153,0.7949995,0.7990484,0.9401595,0.9401595,0.9983734,0.7949995,test,Arteriole lumen
5,0.6977055,0.75739205,0.72045505,0.9722173,0.9722173,0.9951923,0.75739205,test,Arteriole media
5,0.30040035,0.35047796,0.30120796,0.9942097,0.9942097,0.9591738,0.35047796,test,Arteriole adventitia
5,0.0031444894,0.005849553,0.003423736,0.32835695,0.32835695,0.94704306,0.005849553,test,Capillary lumen
5,0.1620894,0.16574556,0.51268154,0.29233852,0.29233852,0.99259377,0.16574556,test,Capillary wall
5,0.27595946,0.28971708,0.5827999,0.63751227,0.63751227,0.9985364,0.28971708,test,Venule lumen
5,0.25896984,0.27328223,0.55691105,0.63470346,0.63470346,0.99413145,0.27328223,test,Venule wall
5,0.033196457,0.049782787,0.033233367,0.9995611,0.9995611,0.85678613,0.049782787,test,Immune cells
5,0.68115175,0.6827296,0.6814552,0.99953747,0.99953747,0.9867511,0.6827296,test,Nerve trunks
5,0.35099098,0.37444183,0.46569067,0.7553996,0.7553996,0.9698424,0.37444183,test,Mean
5,0.38666132,0.4207129,0.39773184,0.94880444,0.94880444,0.9915319,0.4207129,train,Arteriole lumen
