Epoch,IoU,Dice,Precision,Recall,Sensitivity,Specificity,F1,Split,Class
1,0.38557404,0.40906116,0.39141902,0.9606947,0.9606947,0.9863165,0.40906116,test,Arteriole lumen
1,0.1387717,0.16043907,0.14279106,0.97864,0.97864,0.5819144,0.16043907,test,Arteriole media
1,0.08769864,0.09389739,0.089123435,0.9778516,0.9778516,0.29836625,0.09389739,test,Arteriole adventitia
1,0.5366381,0.5417895,0.54235125,0.9382561,0.9382561,0.9897131,0.5417895,test,Capillary lumen
1,0.5776384,0.58668673,0.5813938,0.93612444,0.93612444,0.99101925,0.58668673,test,Capillary wall
1,0.40582162,0.42265564,0.41221932,0.97856486,0.97856486,0.9922762,0.42265564,test,Venule lumen
1,0.5536923,0.5676263,0.55726516,0.95318663,0.95318663,0.99004966,0.5676263,test,Venule wall
1,0.30890155,0.36957106,0.6835007,0.5710083,0.5710083,0.98509383,0.36957106,test,Immune cells
1,0.12910706,0.13459286,0.12911186,0.9999863,0.9999863,0.9357022,0.13459286,test,Nerve trunks
1,0.3470937,0.3651466,0.39213058,0.9215904,0.9215904,0.86116123,0.3651466,test,Mean
1,0.16474357,0.18372571,0.17136118,0.98790395,0.98790395,0.96078885,0.18372571,train,Arteriole lumen
1,0.4028679,0.4386354,0.4235431,0.96115124,0.96115124,0.96542203,0.4386354,train,Arteriole media
1,0.31316,0.34140372,0.32082403,0.9363092,0.9363092,0.88453895,0.34140372,train,Arteriole adventitia
1,0.08795306,0.09827381,0.08806559,0.8804461,0.8804461,0.953878,0.09827383,train,Capillary lumen
1,0.12211236,0.14845264,0.124622986,0.82337856,0.82337856,0.9625547,0.14845264,train,Capillary wall
1,0.24751806,0.30220613,0.27288622,0.93968046,0.93968046,0.9667907,0.30220613,train,Venule lumen
1,0.20023245,0.262945,0.20936386,0.9289719,0.9289719,0.9607017,0.262945,train,Venule wall
1,0.3041733,0.31609526,0.312688,0.98880327,0.98880327,0.97061473,0.31609526,train,Immune cells
1,0.85339963,0.8913174,0.92403316,0.926191,0.926191,0.98968077,0.8913174,train,Nerve trunks
1,0.29957336,0.33145058,0.31637648,0.93031514,0.93031514,0.957219,0.33145058,train,Mean
2,0.72668684,0.7512931,0.79618603,0.9193877,0.9193877,0.99701726,0.7512931,test,Arteriole lumen
2,0.84503555,0.8706891,0.89639175,0.94041085,0.94041085,0.9986645,0.8706891,test,Arteriole media
2,0.76627755,0.7685782,0.8340346,0.9272862,0.9272862,0.9927361,0.7685782,test,Arteriole adventitia
2,0.79734373,0.8142575,0.8063706,0.98172516,0.98172516,0.9985455,0.8142575,test,Capillary lumen
