Epoch,IoU,Dice,Precision,Recall,Sensitivity,Specificity,F1,Split,Class
3,0.20726958,0.2955181,0.20916194,0.95361704,0.95361704,0.9242263,0.2955181,train,Arteriole media
3,0.036973752,0.06478921,0.036978416,0.9991227,0.9991227,0.47988135,0.06478921,train,Arteriole adventitia
3,0.0011958324,0.0023776987,0.0011971028,0.95554316,0.95554316,0.46171415,0.0023776987,train,Capillary lumen
3,0.019611217,0.035184555,0.021569772,0.9333743,0.9333743,0.89740044,0.035184555,train,Capillary wall
3,0.25622857,0.32007444,0.29879555,0.86068404,0.86068404,0.98415375,0.32007444,train,Venule lumen
3,0.08018148,0.12831774,0.091246955,0.93005824,0.93005824,0.92167944,0.12831774,train,Venule wall
3,0.047168806,0.053408183,0.047779854,0.9976042,0.9976042,0.94590247,0.053408183,train,Immune cells
3,0.026262388,0.030345973,0.02630872,0.9998978,0.9998978,0.98495996,0.030345973,train,Nerve trunks
3,0.108772494,0.1449773,0.116709895,0.94547164,0.94547164,0.84295964,0.1449773,train,Mean
4,0.2464454,0.28692168,0.26315072,0.95785576,0.95785576,0.99284005,0.28692168,test,Arteriole lumen
4,0.23036978,0.27681583,0.23550327,0.98681986,0.98681986,0.9720831,0.27681583,test,Arteriole media
4,0.004814763,0.008701948,0.004825518,0.99929917,0.99929917,0.46696565,0.008701948,test,Arteriole adventitia
4,0.0077463696,0.014569527,0.00785312,0.8812209,0.8812209,0.69882196,0.014569527,test,Capillary lumen
4,0.028805025,0.052883208,0.029488854,0.7505732,0.7505732,0.8938859,0.052883208,test,Capillary wall
4,0.17695282,0.1964369,0.18644997,0.97818285,0.97818285,0.9922019,0.1964369,test,Venule lumen
4,0.14326014,0.16438538,0.144691,0.9861843,0.9861843,0.9791243,0.16438538,test,Venule wall
4,0.43827057,0.4477114,0.44265908,0.9815761,0.9815761,0.9974623,0.4477114,test,Immune cells
4,0.03701716,0.04287699,0.03703387,0.9999776,0.9999776,0.8983431,0.04287699,test,Nerve trunks
4,0.14596467,0.16570032,0.15018395,0.9468545,0.9468545,0.8768587,0.16570032,test,Mean
4,0.26946676,0.2833875,0.2756775,0.95344085,0.95344085,0.99130327,0.2833875,train,Arteriole lumen
